query	hit_pdb	hit_chain	hit_cosine	hit_euclid
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	2GXF	D	0.537553	15.459625
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1WJP	A	0.545755	14.000000
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	2IA9	E	0.546575	11.661904
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1CSZ	A	0.553293	11.874342
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	2GXF	B	0.557199	15.652476
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	2IA9	C	0.558816	14.491377
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1ZM0	A	0.561923	12.767145
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1ZM0	B	0.561923	12.767145
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	2CSH	A	0.563139	16.522712
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1CSY	A	0.563446	12.206556
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	2OHC	B	0.563895	31.032241
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	3BCY	A	0.564164	19.697716
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1ARE	A	0.565476	5.291503
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	2LVU	A	0.565878	4.358899
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	2OHC	A	0.567377	31.304952
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	3HIE	B	0.567395	18.601075
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	2AUG	A	0.568293	11.135529
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	2D9H	A	0.568731	10.535654
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	3O19	A	0.568842	17.406895
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1A6A	A	0.569016	23.130067
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1PLS	A	0.569433	14.282857
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	2CV8	B	0.569533	21.886069
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1T7Y	A	0.570689	38.000000
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1ZAG	C	0.571045	37.389838
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	3RMP	A	0.571162	11.224972
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1USO	B	0.571914	16.278821
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1T7Z	A	0.572064	38.131352
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1T7V	A	0.572108	38.781439
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1T80	A	0.572108	38.781439
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	2JP9	A	0.572604	18.220867
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1ZNB	A	0.572795	27.221315
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1T7W	A	0.573308	37.603191
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	3J20	F	0.574366	26.038433
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	3GQI	B	0.574564	24.758837
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	3TFM	A	0.574668	23.473389
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	3I7U	B	0.575499	17.720045
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1MKJ	A	0.576177	45.705580
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1XF7	A	0.576341	4.472136
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1T7X	A	0.576503	37.255872
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	3TJZ	C	0.577318	22.338308
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1MR2	A	0.577374	20.396078
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	4FXH	B	0.577936	13.341664
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	4EY0	A	0.577964	24.979992
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	3U5G	C	0.578002	24.331050
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1JB5	A	0.578219	17.204651
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	2AZO	B	0.578289	26.305893
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	2WBJ	E	0.578428	23.706539
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	3PSK	D	0.578450	22.405357
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	2ZWG	B	0.578801	9.591663
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	2ZWF	B	0.578801	9.591663
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1MP2	A	0.579165	20.493902
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-11-11-1/2kjxA.fmap	1A79	D	0.579301	23.108440
