query	hit_pdb	hit_chain	hit_cosine	hit_euclid
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	4DGV	A	0.369512	11.532563
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	1GVM	D	0.435480	16.431677
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	2FFF	A	0.436074	11.575837
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	2V2F	A	0.436074	11.575837
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	1D3B	K	0.438545	10.954451
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	2L07	A	0.442722	11.357817
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	1D3B	C	0.443219	10.954451
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	1D3B	G	0.443817	11.045361
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	3PGW	W	0.444371	11.445523
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	2Y9D	K	0.445337	11.357817
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	3PGW	Z	0.446029	11.269428
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	1D3B	E	0.446397	11.090537
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	3PGW	G	0.446400	11.180340
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	3PGW	J	0.446400	11.180340
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	1D3B	I	0.448651	11.045361
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	1D3B	A	0.451308	11.090537
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	2BML	A	0.451382	16.673332
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	2Y9B	R	0.453937	11.532563
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	1HCX	B	0.454153	16.792856
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	1HCX	A	0.454426	17.029386
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	3N7E	A	0.457703	11.000000
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	2BML	B	0.460237	17.058722
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	1TH7	N	0.461565	11.269428
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	3N7D	A	0.462318	11.000000
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	2Y9A	D	0.463620	11.618950
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	2Y9D	D	0.463620	11.618950
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	2Y9A	K	0.463620	11.618950
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	2Y9B	K	0.463620	11.618950
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	2Y9C	D	0.467762	11.704700
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch-40-50-10/2kjxA.fmap	3N7E	B	0.471947	11.313708
