query	hit_pdb	hit_chain	hit_cosine	hit_euclid
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch/1cofA.fmap	1NXE	A	0.142885	115.758369
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch/1cofA.fmap	3BCC	B	0.144469	119.741388
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch/1cofA.fmap	1K3P	B	0.145675	116.189500
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch/1cofA.fmap	1NXG	B	0.148338	116.404467
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch/1cofA.fmap	1NXE	B	0.148370	117.388245
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch/1cofA.fmap	1K3P	A	0.148624	116.884558
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch/1cofA.fmap	2BCC	B	0.149569	121.020659
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch/1cofA.fmap	3HIZ	A	0.150063	88.960665
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch/1cofA.fmap	1OWC	B	0.150127	115.905134
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch/1cofA.fmap	1OWB	B	0.151025	116.060329
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch/1cofA.fmap	1NXG	A	0.151061	117.694520
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch/1cofA.fmap	4H5H	A	0.151713	89.487429
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch/1cofA.fmap	4F91	B	0.151744	126.404114
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch/1cofA.fmap	4F5C	A	0.152203	89.526532
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch/1cofA.fmap	3L99	B	0.152672	116.756156
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch/1cofA.fmap	2RD0	A	0.152714	89.682774
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch/1cofA.fmap	4F5C	B	0.152838	89.699498
data/experiments/hhfrag-bow/tmp/map/nr20-pdb-select25-hhsearch/1cofA.fmap	4F93	B	0.152955	127.342059
